城市,日期,时间,温度(°C),相对湿度(%),降水量(mm),10米风速(km/h),10米风向(°),短波辐射(W/m²),天气代码
南宁,2026/1/28,0:00,12.4,82,0,3.7,51,0,1 (晴到多云)
南宁,2026/1/28,1:00,11.9,82,0,3.9,24,0,1 (晴到多云)
南宁,2026/1/28,2:00,12.4,81,0,4.6,31,0,3 (阴天)
南宁,2026/1/28,3:00,12.9,77,0,4,32,0,3 (阴天)
南宁,2026/1/28,4:00,12.6,78,0,3.8,45,0,2 (多云)
南宁,2026/1/28,5:00,11.8,80,0,4.1,56,0,0 (晴朗)
南宁,2026/1/28,6:00,10.9,82,0,3.9,66,0,0 (晴朗)
南宁,2026/1/28,7:00,10.4,84,0,3.8,82,0,1 (晴到多云)
南宁,2026/1/28,8:00,11.1,82,0,5.7,81,11,2 (多云)
南宁,2026/1/28,9:00,12.2,74,0,4.2,97,101,2 (多云)
南宁,2026/1/28,10:00,13.7,71,0,1.5,166,304,0 (晴朗)
南宁,2026/1/28,11:00,15.5,67,0,3.4,108,512,0 (晴朗)
南宁,2026/1/28,12:00,17.4,63,0,4.8,103,651,0 (晴朗)
南宁,2026/1/28,13:00,19.1,58,0,6.3,93,729,0 (晴朗)
南宁,2026/1/28,14:00,19.8,58,0,4.9,92,729,0 (晴朗)
南宁,2026/1/28,15:00,20.8,56,0,5.3,98,655,0 (晴朗)
南宁,2026/1/28,16:00,21.1,55,0,5.1,113,523,0 (晴朗)
南宁,2026/1/28,17:00,20.8,57,0,7.9,107,339,0 (晴朗)
南宁,2026/1/28,18:00,19.5,65,0,6.2,131,139,1 (晴到多云)
南宁,2026/1/28,19:00,17.9,72,0,8.7,94,10,0 (晴朗)
南宁,2026/1/28,20:00,17,74,0,11.6,84,0,0 (晴朗)
南宁,2026/1/28,21:00,16.2,77,0,9.8,95,0,3 (阴天)
南宁,2026/1/28,22:00,15.9,81,0,8.8,109,0,0 (晴朗)
南宁,2026/1/28,23:00,14.9,85,0,9.5,105,0,0 (晴朗)
桂林,2026/1/27,0:00,11.07 ,9.79 ,0.00 ,1.43 ,4.91 ,0.00 ,1 (晴到多云)
桂林,2026/1/27,1:00,10.29 ,63.06 ,0.00 ,0.36 ,10.73 ,0.00 ,1 (晴到多云)
桂林,2026/1/27,2:00,12.36 ,79.60 ,0.00 ,3.62 ,27.40 ,0.00 ,3 (阴天)
桂林,2026/1/27,3:00,11.52 ,17.37 ,0.00 ,0.43 ,23.02 ,0.00 ,3 (阴天)
桂林,2026/1/27,4:00,12.56 ,62.01 ,0.00 ,3.26 ,32.38 ,0.00 ,2 (多云)
桂林,2026/1/27,5:00,10.91 ,13.20 ,0.00 ,2.26 ,4.26 ,0.00 ,0 (晴朗)
桂林,2026/1/27,6:00,3.33 ,71.40 ,0.00 ,2.41 ,46.43 ,0.00 ,0 (晴朗)
桂林,2026/1/27,7:00,2.54 ,3.52 ,0.00 ,3.73 ,25.06 ,0.00 ,1 (晴到多云)
桂林,2026/1/27,8:00,0.47 ,19.32 ,0.00 ,3.27 ,28.25 ,8.13 ,2 (多云)
桂林,2026/1/27,9:00,0.18 ,67.71 ,0.00 ,1.81 ,46.27 ,62.45 ,2 (多云)
桂林,2026/1/27,10:00,10.79 ,60.95 ,0.00 ,0.14 ,76.82 ,105.80 ,0 (晴朗)
桂林,2026/1/27,11:00,1.21 ,38.87 ,0.00 ,0.91 ,17.85 ,454.70 ,0 (晴朗)
桂林,2026/1/27,12:00,1.68 ,54.53 ,0.00 ,2.31 ,9.56 ,411.84 ,0 (晴朗)
桂林,2026/1/27,13:00,18.97 ,24.21 ,0.00 ,0.55 ,82.59 ,592.21 ,0 (晴朗)
桂林,2026/1/27,14:00,6.91 ,38.24 ,0.00 ,3.29 ,29.86 ,626.07 ,0 (晴朗)
桂林,2026/1/27,15:00,15.53 ,14.79 ,0.00 ,4.21 ,32.47 ,237.25 ,0 (晴朗)
桂林,2026/1/27,16:00,8.17 ,2.31 ,0.00 ,1.13 ,101.08 ,7.90 ,0 (晴朗)
桂林,2026/1/27,17:00,18.39 ,54.89 ,0.00 ,2.60 ,44.87 ,220.56 ,0 (晴朗)
桂林,2026/1/27,18:00,3.36 ,20.82 ,0.00 ,0.91 ,27.52 ,53.43 ,1 (晴到多云)
桂林,2026/1/27,19:00,10.80 ,57.67 ,0.00 ,6.83 ,58.50 ,1.65 ,0 (晴朗)
桂林,2026/1/27,20:00,13.07 ,7.16 ,0.00 ,10.31 ,53.30 ,0.00 ,0 (晴朗)
桂林,2026/1/27,21:00,10.25 ,68.75 ,0.00 ,9.27 ,16.37 ,0.00 ,3 (阴天)
桂林,2026/1/27,22:00,0.32 ,80.48 ,0.00 ,1.67 ,87.62 ,0.00 ,0 (晴朗)
桂林,2026/1/27,23:00,8.99 ,58.69 ,0.00 ,4.53 ,60.30 ,0.00 ,0 (晴朗)
