日期	时间	实际功率(MW)	可用功率(MW)	场站短期预测(MW)	场站名称	出清曲线	A2子站可用功率(MW)	A3子站可用功率(MW)	辐照度
2026/1/30	0:00:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	0:15:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	0:30:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	0:45:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	1:00:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	1:15:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	1:30:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	1:45:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	2:00:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	2:15:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	2:30:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	2:45:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	3:00:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	3:15:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	3:30:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	3:45:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	4:00:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	4:15:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	4:30:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	4:45:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	5:00:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	5:15:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	5:30:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	5:45:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	6:00:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	6:15:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	6:30:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	6:45:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	7:00:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	7:15:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	7:30:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	7:45:00	0	0	0	派岸光伏电站	0.04	0.04	0.04	
2026/1/30	8:00:00	0	3.01	1.64	派岸光伏电站	0.2	0.2	0.2	
2026/1/30	8:15:00	0	4.38	1.21	派岸光伏电站	0.5	0.5	0.54	
2026/1/30	8:30:00	2.98	4.79	1.83	派岸光伏电站	3.9	1.28	1.43	
2026/1/30	8:45:00	6.01	10.27	2.94	派岸光伏电站	7.12	3.32	3.63	
2026/1/30	9:00:00	8.02	15.48	5.71	派岸光伏电站	8.76	7	5.22	
2026/1/30	9:15:00	10.73	13.15	7.77	派岸光伏电站	12.64	9.73	8.28	
2026/1/30	9:30:00	10.63	10.82	9.74	派岸光伏电站	16.32	9.92	10.34	
2026/1/30	9:45:00	10.82	12.05	9.46	派岸光伏电站	14.37	12.39	11.05	
2026/1/30	10:00:00	11.99	12.16	11.51	派岸光伏电站	13.69	13.57	14.19	
2026/1/30	10:15:00	13.83	16.84	12.64	派岸光伏电站	15.67	14.78	15.56	
2026/1/30	10:30:00	15.03	25.75	13.01	派岸光伏电站	16.14	14.74	15.33	
